ID	Chromosome	Position	MutantCount	ReferenceCount	INFO
mut535	1	535	25	47	ID=mut535;
mut537	1	537	7	15	ID=mut537;
mut539	1	539	15	26	ID=mut539;
mut543	1	543	23	44	ID=mut543;
mut545	1	545	27	54	ID=mut545;
mut546	1	546	30	42	ID=mut546;
mut551	1	551	27	59	ID=mut551;
mut552	1	552	24	55	ID=mut552;
mut560	1	560	11	34	ID=mut560;
mut562	1	562	33	71	ID=mut562;
mut564	1	564	29	49	ID=mut564;
mut565	1	565	12	32	ID=mut565;
mut578	1	578	37	60	ID=mut578;
mut581	1	581	21	45	ID=mut581;
mut585	1	585	26	38	ID=mut585;
mut586	1	586	12	30	ID=mut586;
mut591	1	591	17	54	ID=mut591;
mut602	1	602	14	33	ID=mut602;
mut620	1	620	17	64	ID=mut620;
mut622	1	622	7	49	ID=mut622;
mut625	1	625	15	57	ID=mut625;
mut629	1	629	24	86	ID=mut629;
mut630	1	630	7	14	ID=mut630;
mut641	1	641	9	60	ID=mut641;
mut645	1	645	16	62	ID=mut645;
mut650	1	650	11	16	ID=mut650;
mut657	1	657	8	28	ID=mut657;
mut664	1	664	29	71	ID=mut664;
mut666	1	666	12	39	ID=mut666;
mut679	1	679	9	28	ID=mut679;
mut681	1	681	2	15	ID=mut681;
mut682	1	682	28	94	ID=mut682;
mut689	1	689	13	53	ID=mut689;
mut691	1	691	8	47	ID=mut691;
mut692	1	692	18	62	ID=mut692;
mut696	1	696	12	28	ID=mut696;
mut706	1	706	28	106	ID=mut706;
mut723	1	723	19	51	ID=mut723;
mut725	1	725	21	37	ID=mut725;
mut727	1	727	14	35	ID=mut727;
mut738	1	738	19	50	ID=mut738;
mut739	1	739	22	68	ID=mut739;
mut743	1	743	20	113	ID=mut743;
mut756	1	756	5	20	ID=mut756;
mut767	1	767	11	23	ID=mut767;
mut769	1	769	16	47	ID=mut769;
mut780	1	780	10	49	ID=mut780;
mut781	1	781	16	75	ID=mut781;
mut787	1	787	8	25	ID=mut787;
mut789	1	789	17	63	ID=mut789;
mut796	1	796	7	33	ID=mut796;
mut800	1	800	14	44	ID=mut800;
mut805	1	805	5	55	ID=mut805;
mut808	1	808	9	79	ID=mut808;
mut810	1	810	4	54	ID=mut810;
mut812	1	812	4	54	ID=mut812;
mut815	1	815	8	56	ID=mut815;
mut817	1	817	5	58	ID=mut817;
mut818	1	818	2	22	ID=mut818;
mut821	1	821	5	38	ID=mut821;
mut824	1	824	6	60	ID=mut824;
mut832	1	832	3	39	ID=mut832;
mut835	1	835	6	50	ID=mut835;
mut837	1	837	8	40	ID=mut837;
mut842	1	842	5	31	ID=mut842;
mut847	1	847	2	35	ID=mut847;
mut849	1	849	3	63	ID=mut849;
mut858	1	858	1	15	ID=mut858;
mut865	1	865	13	84	ID=mut865;
mut871	1	871	10	74	ID=mut871;
mut873	1	873	1	20	ID=mut873;
mut875	1	875	3	40	ID=mut875;
mut895	1	895	10	32	ID=mut895;
mut896	1	896	8	68	ID=mut896;
mut900	1	900	3	60	ID=mut900;
mut902	1	902	8	68	ID=mut902;
mut905	1	905	4	62	ID=mut905;
mut910	1	910	5	45	ID=mut910;
mut911	1	911	8	71	ID=mut911;
mut915	1	915	8	29	ID=mut915;
mut920	1	920	7	41	ID=mut920;
mut921	1	921	8	65	ID=mut921;
mut926	1	926	8	62	ID=mut926;
mut927	1	927	9	61	ID=mut927;
mut928	1	928	4	45	ID=mut928;
mut929	1	929	13	66	ID=mut929;
mut949	1	949	11	57	ID=mut949;
mut950	1	950	8	51	ID=mut950;
mut951	1	951	4	58	ID=mut951;
mut953	1	953	5	62	ID=mut953;
mut955	1	955	7	75	ID=mut955;
mut961	1	961	1	33	ID=mut961;
mut962	1	962	2	79	ID=mut962;
mut968	1	968	8	33	ID=mut968;
mut972	1	972	12	52	ID=mut972;
mut974	1	974	7	62	ID=mut974;
mut985	1	985	9	95	ID=mut985;
mut992	1	992	5	16	ID=mut992;
mut995	1	995	6	67	ID=mut995;
